Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.0012	0.04	0	0	0	0	0	0	0	1000	0	0	0	3
2	1	0.0024	0.08	0	0	0	0	0	0	0	1000	0	0	0	3
3	1	0.0036	0.12	0	0	0	0	0	0	0	1000	0	0	0	3
4	1	0.0048	0.16	0	0	0	0	0	0	0	1000	0	0	0	3
5	2	0.006	0.2	0	0	0	0	0	0	0	1000	0	0	0	3
6	2	0.0072	0.24	0	0	0	0	0	0	0	1000	0	0	0	3
7	2	0.0084	0.28	0	0	0	0	0	0	0	1000	0	0	0	3
8	2	0.0096	0.32	0	0	0	0	0	0	0	1000	0	0	0	3
9	3	0.0108	0.36	0	0	0	0	0	0	0	1000	0	0	0	3
10	3	0.012	0.4	0	0	0	0	0	0	0	1000	0	0	0	3
11	3	0.0132	0.44	0	0	0	0	0	0	0	1000	0	0	0	3
12	4	0.0144	0.48	0	0	0	0	0	0	0	1000	0	0	0	3
13	4	0.0156	0.52	0	0	0	0	0	0	0	1000	0	0	0	3
14	4	0.0168	0.56	0	0	0	0	0	0	0	1000	0	0	0	3
15	4	0.018	0.6	0	0	0	0	0	0	0	1000	0	0	0	3
16	5	0.0192	0.64	0	0	0	0	0	0	0	1000	0	0	0	3
17	5	0.0204	0.68	0	0	0	0	0	0	0	1000	0	0	0	3
18	5	0.0216	0.72	0	0	0	0	0	0	0	1000	0	0	0	3
19	5	0.0228	0.76	0	0	0	0	0	0	0	1000	0	0	0	3
20	6	0.024	0.8	0	0	0	0	0	0	0	1000	0	0	0	3
21	6	0.0252	0.84	0	0	0	0	0	0	0	1000	0	0	0	3
22	6	0.0264	0.88	0	0	0	0	0	0	0	1000	0	0	0	3
23	6	0.0276	0.92	0	0	0	0	0	0	0	1000	0	0	0	3
24	6	0.0288	0.96	0	0	0	0	0	0	0	1000	0	0	0	3
25	7	0.03	1	0	0	0	0	0	1e-08	0	1000	0	0	0	3
26	7	0.0312	1.04	0	0	0	0	0	1e-08	0	1000	0	0	0	3
27	7	0.0324	1.08	0	0	0	0	0	1e-08	0	1000	0	0	0	3
28	7	0.0336	1.12	0	0	0	0	0	1e-08	0	1000	0	0	0	3
29	8	0.0348	1.16	0	0	0	0	0	1e-08	0	1000	0	0	0	3
30	8	0.036	1.2	0	0	0	0	0	1e-08	0	1000	0	0	0	3
31	8	0.0372	1.24	0	0	0	0	0	1e-08	0	1000	0	0	0	3
32	8	0.0384	1.28	0	0	0	0	0	1e-08	0	1000	0	0	0	3
33	9	0.0396	1.32	0	0	0	0	0	1e-08	0	1000	0	0	0	3
34	9	0.0408	1.36	0	0	0	0	0	1e-08	0	1000	0	0	0	3
35	9	0.042	1.4	0	0	0	0	0	1e-08	0	1000	0	0	0	3
36	9	0.0432	1.44	0	0	0	0	0	1e-08	0	1000	0	0	0	3
37	10	0.0444	1.48	0	0	0	0	0	1e-08	0	1000	0	0	0	3
38	10	0.0456	1.52	0	0	0	0	0	1e-08	0	1000	0	0	0	3
39	10	0.0468	1.56	0	0	0	0	0	1e-08	0	1000	0	0	0	3
40	10	0.048	1.6	0	0	0	0	0	1e-08	0	1000	0	0	0	3
41	10	0.0492	1.64	0	0	0	0	0	1e-08	0	1000	0	0	0	3
42	11	0.0504	1.68	0	0	0	0	0	1e-08	0	1000	0	0	0	3
43	11	0.0516	1.72	0	0	0	0	0	1e-08	0	1000	0	0	0	3
44	11	0.0528	1.76	0	0	0	0	0	1e-08	0	1000	0	0	0	3
45	11	0.054	1.8	0	0	0	0	0	1e-08	0	1000	0	0	0	3
46	12	0.0552	1.84	0	0	0	0	0	1e-08	0	1000	0	0	0	3
47	12	0.0564	1.88	0	0	0	0	0	1e-08	0	1000	0	0	0	3
48	12	0.0576	1.92	0	0	0	0	0	1e-08	0	1000	0	0	0	3
49	12	0.0588	1.96	0	0	0	0	0	1e-08	0	1000	0	0	0	3
50	13	0.06	2	0	0	0	0	0	1e-08	0	1000	0	0	0	3
51	13	0.0612	2.04	0	0	0	0	0	1e-08	0	1000	0	0	0	3
52	13	0.0624	2.08	0	0	0	0	0	1e-08	0	1000	0	0	0	3
