Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.0012	0.04	101324.977	101324.977	101324.977	101324.977	0	0	0	0	8.16361	0	0	3
2	1	0.0024	0.08	101325.246	101325.112	101324.977	101325.246	0.134705202	0	0	0	27.4798	0	0	3
3	1	0.0036	0.12	101324.911	101325.045	101324.911	101325.246	0.134705202	0	0	0	13.3652	0	0	3
4	1	0.0048	0.16	101324.877	101325.003	101324.877	101325.246	0.134705202	0	0	0	14.0866	0	0	3
5	2	0.006	0.2	101324.889	101324.98	101324.877	101325.246	0.134705202	0	0	0	15.6469	0	0	3
6	2	0.0072	0.24	101324.87	101324.962	101324.87	101325.246	0.149881507	0	0	0	15.7443	0	0	3
7	2	0.0084	0.28	101324.855	101324.947	101324.855	101325.246	0.165095656	0	0	0	18.7198	0	0	3
8	2	0.0096	0.32	101324.832	101324.932	101324.832	101325.246	0.179402835	0	0	0	19.4518	0	0	3
9	3	0.0108	0.36	101324.824	101324.92	101324.824	101325.246	0.191392128	0	0	0	21.039	0	0	3
10	3	0.012	0.4	101324.842	101324.912	101324.824	101325.246	0.199260096	0	0	0	19.3999	0	0	3
11	3	0.0132	0.44	101324.858	101324.907	101324.824	101325.246	0.20416685	0	0	0	20.0905	0	0	3
12	4	0.0144	0.48	101324.904	101324.907	101324.824	101325.246	0.204415446	0	0	0	19.2788	0	0	3
13	4	0.0156	0.52	101324.893	101324.906	101324.824	101325.246	0.205500463	0	0	0	19.9044	0	0	3
14	4	0.0168	0.56	101324.922	101324.902	101324.824	101325.246	0.209710572	0	0	0	19.953	0	0	3
15	4	0.018	0.6	101324.896	101324.875	101324.824	101324.922	0.0978698519	0	0	0	19.7781	0	0	3
16	5	0.0192	0.64	101324.96	101324.879	101324.824	101324.96	0.127844901	0	0	0	19.8676	0	0	3
17	5	0.0204	0.68	101324.932	101324.883	101324.824	101324.96	0.105150509	0	0	0	20.0368	0	0	3
18	5	0.0216	0.72	101324.978	101324.89	101324.824	101324.978	0.0867570829	0	0	0	19.2156	0	0	3
19	5	0.0228	0.76	101324.961	101324.897	101324.824	101324.978	0.0715429346	0	0	0	19.6756	0	0	3
20	6	0.024	0.8	101325.005	101324.908	101324.824	101325.005	0.0572357553	0	0	0	18.0876	0	0	3
21	6	0.0252	0.84	101324.987	101324.92	101324.824	101325.005	0.0452535075	0	0	0	19.0822	0	0	3
22	6	0.0264	0.88	101325.023	101324.935	101324.842	101325.023	0.0605276178	0	0	0	17.5155	0	0	3
23	6	0.0276	0.92	101325.011	101324.949	101324.858	101325.023	0.0735943843	0	0	0	18.3411	0	0	3
24	6	0.0288	0.96	101325.042	101324.963	101324.893	101325.042	0.0876913889	0	0	0	17.0773	0	0	3
25	7	0.03	1	101325.033	101324.973	101324.893	101325.042	0.0975781203	0.0256183606	0	26.2	17.8557	0	0	3
26	7	0.0312	1.04	101325.058	101324.985	101324.896	101325.058	0.110271563	0.0275594757	0	24.9	17.031	0	0	3
27	7	0.0324	1.08	101325.051	101324.995	101324.896	101325.058	0.120153681	0.0275594757	0	22.9	17.6803	0	0	3
28	7	0.0336	1.12	101325.074	101325.009	101324.932	101325.074	0.129997021	0.0281645121	0	21.6	16.9951	0	0	3
29	8	0.0348	1.16	101325.065	101325.017	101324.932	101325.074	0.133854693	0.0284670303	0	21.2	17.523	0	0	3
30	8	0.036	1.2	101325.086	101325.029	101324.961	101325.086	0.125677981	0.0289504713	0	23	17.2215	0	0	3
31	8	0.0372	1.24	101325.076	101325.036	101324.961	101325.086	0.125677981	0.0292727652	0	23.2	17.7882	0	0	3
32	8	0.0384	1.28	101325.094	101325.046	101324.987	101325.094	0.106500772	0.0296289045	0	27.8	17.8926	0	0	3
33	9	0.0396	1.32	101325.083	101325.053	101324.987	101325.094	0.106500772	0.029896009	0	28	18.194	0	0	3
34	9	0.0408	1.36	101325.098	101325.061	101325.011	101325.098	0.0864991825	0.0299319562	0	34.6	18.338	0	0	3
35	9	0.042	1.4	101325.088	101325.066	101325.011	101325.098	0.0864991825	0.0297622414	0	34.4	18.7485	0	0	3
36	9	0.0432	1.44	101325.098	101325.073	101325.033	101325.098	0.0650707076	0.0292530295	0	44.9	18.9089	0	0	3
37	10	0.0444	1.48	101325.093	101325.077	101325.033	101325.098	0.0650707076	0.0288286862	0	44.3	19.462	0	0	3
38	10	0.0456	1.52	101325.094	101325.081	101325.051	101325.098	0.0474172906	0.0284409589	0	59.9	19.7221	0	0	3
39	10	0.0468	1.56	101325.093	101325.084	101325.051	101325.098	0.0474172906	0.0281086212	0	59.2	20.0855	0	0	3
40	10	0.048	1.6	101325.091	101325.087	101325.065	101325.098	0.0331737237	0.0275369626	0	83	20.0449	0	0	3
41	10	0.0492	1.64	101325.088	101325.088	101325.065	101325.098	0.0331737237	0.0270367614	0	81.5	19.9278	0	0	3
42	11	0.0504	1.68	101325.085	101325.09	101325.076	101325.098	0.0219165727	0.0263992631	0	100	19.8717	0	0	3
43	11	0.0516	1.72	101325.079	101325.089	101325.076	101325.098	0.0219165727	0.0258325979	0	100	19.9031	0	0	3
44	11	0.0528	1.76	101325.075	101325.089	101325.075	101325.098	0.0231753216	0.0256183606	0	100	19.8568	0	0	3
45	11	0.054	1.8	101325.068	101325.087	101325.068	101325.098	0.0304097774	0.0256183606	0	84.2	19.9436	0	0	3
46	12	0.0552	1.84	101325.063	101325.086	101325.063	101325.098	0.028824061	0.0256183606	0	88.8	19.9203	0	0	3
47	12	0.0564	1.88	101325.055	101325.082	101325.055	101325.098	0.023794446	0.0256183606	0	100	20.0268	0	0	3
48	12	0.0576	1.92	101325.048	101325.079	101325.048	101325.098	0.0171289038	0.0256183606	0	100	20.0715	0	0	3
49	12	0.0588	1.96	101325.037	101325.075	101325.037	101325.094	0.0153331578	0.0256183606	0	100	19.8234	0	0	3
50	13	0.06	2	101325.028	101325.07	101325.028	101325.094	0.0203313945	0.0256183606	0	100	20.0803	0	0	3
51	13	0.0612	2.04	101325.016	101325.063	101325.016	101325.093	0.026361893	0.0256183606	0	97.1	20.0649	0	0	3
52	13	0.0624	2.08	101325.003	101325.057	101325.003	101325.091	0.0333197895	0.0256183606	0	76.8	20.0238	0	0	3
53	13	0.0636	2.12	101324.99	101325.049	101324.99	101325.088	0.0410448666	0.0256183606	0	62.4	19.9052	0	0	3
54	14	0.0648	2.16	101324.979	101325.04	101324.979	101325.085	0.0494454569	0.0256183606	0	51.8	19.8413	0	0	3
55	14	0.066	2.2	101324.957	101325.031	101324.957	101325.079	0.0587022531	0.0256183606	0	43.6	19.7812	0	0	3
56	14	0.0672	2.24	101324.957	101325.021	101324.957	101325.075	0.0680007093	0.0256183606	0	37.6	19.9545	0	0	3
57	14	0.0684	2.28	101324.935	101325.01	101324.935	101325.068	0.0767767911	0.0256183606	0	33.3	20.2304	0	0	3
58	15	0.0696	2.32	101324.916	101324.999	101324.916	101325.063	0.0869066417	0.0256183606	0	29.4	20.5191	0	0	3
59	15	0.0708	2.36	101324.894	101324.986	101324.894	101325.055	0.0966323942	0.0256183606	0	26.5	20.9802	0	0	3
