Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.0012	0.04	423.150066	423.150066	423.150066	423.150066	0	0	0	0	1.62247	0	0	3
2	1	0.0024	0.08	423.150137	423.150102	423.150066	423.150137	3.58613048e-05	0	0	0	1.62643	0	0	3
3	1	0.0036	0.12	423.150215	423.150139	423.150066	423.150215	7.35725215e-05	0	0	0	1.62174	0	0	3
4	1	0.0048	0.16	423.150299	423.150179	423.150066	423.150299	0.000113445758	0	0	0	1.62362	0	0	3
5	2	0.006	0.2	423.150373	423.150218	423.150066	423.150373	0.000152242703	0	0	0	1.62314	0	0	3
6	2	0.0072	0.24	423.150448	423.150256	423.150066	423.150448	0.000190605947	0	0	0	1.62571	0	0	3
7	2	0.0084	0.28	423.150526	423.150295	423.150066	423.150526	0.000229134553	0	0	0	1.62317	0	0	3
8	2	0.0096	0.32	423.150605	423.150334	423.150066	423.150605	0.000267946821	0	0	0	1.62656	0	0	3
9	3	0.0108	0.36	423.150684	423.150373	423.150066	423.150684	0.000306833942	0	0	0	1.61686	0	0	3
10	3	0.012	0.4	423.150759	423.150411	423.150066	423.150759	0.00034544704	0	0	0	1.63044	0	0	3
11	3	0.0132	0.44	423.150833	423.150449	423.150066	423.150833	0.000383775372	0	0	0	1.62421	0	0	3
12	4	0.0144	0.48	423.150907	423.150488	423.150066	423.150907	0.000421932369	0	0	0	1.62713	0	0	3
13	4	0.0156	0.52	423.150975	423.150525	423.150066	423.150975	0.000459405162	0	0	0	1.62416	0	0	3
14	4	0.0168	0.56	423.151046	423.150601	423.150137	423.151046	0.000498980951	0	0	0	1.6289	0	0	3
15	4	0.018	0.6	423.151119	423.150676	423.150215	423.151119	0.000536805604	0	0	0	1.62949	0	0	3
16	5	0.0192	0.64	423.151189	423.150751	423.150299	423.151189	0.000571910559	0	0	0	1.63051	0	0	3
17	5	0.0204	0.68	423.151257	423.150825	423.150373	423.151257	0.000606822714	0	0	0	1.6255	0	0	3
18	5	0.0216	0.72	423.151325	423.150898	423.150448	423.151325	0.000641664744	0	0	0	1.63172	0	0	3
19	5	0.0228	0.76	423.151396	423.150971	423.150526	423.151396	0.000676035675	0	0	0	1.63099	0	0	3
20	6	0.024	0.8	423.151462	423.151043	423.150605	423.151462	0.00070921993	0	0	0	1.63386	0	0	3
21	6	0.0252	0.84	423.151531	423.151114	423.150684	423.151531	0.000741559403	0	0	0	1.63285	0	0	3
22	6	0.0264	0.88	423.151597	423.151184	423.150759	423.151597	0.00077320154	0	0	0	1.6349	0	0	3
23	6	0.0276	0.92	423.151667	423.151254	423.150833	423.151667	0.000804718679	0	0	0	1.63503	0	0	3
24	6	0.0288	0.96	423.151731	423.151323	423.150907	423.151731	0.000823803182	0	0	0	1.63724	0	0	3
25	7	0.03	1	423.151801	423.151392	423.150975	423.151801	0.00082620368	0.000186985214	0	22.6	1.6405	0	0	3
26	7	0.0312	1.04	423.151865	423.15146	423.151046	423.151865	0.000818174073	0.000194479054	0	23.7	1.63952	0	0	3
27	7	0.0324	1.08	423.151935	423.151529	423.151119	423.151935	0.000815213067	0.000198607408	0	24.3	1.63735	0	0	3
28	7	0.0336	1.12	423.151997	423.151596	423.151189	423.151997	0.000807618047	0.000199133129	0	24.6	1.64162	0	0	3
29	8	0.0348	1.16	423.152067	423.151664	423.151257	423.152067	0.00080983417	0.000199261122	0	24.6	1.63796	0	0	3
30	8	0.036	1.2	423.152128	423.151731	423.151325	423.152128	0.000803600569	0.000199021775	0	24.7	1.64372	0	0	3
31	8	0.0372	1.24	423.152198	423.151798	423.151396	423.152198	0.000802296157	0.000198701675	0	24.7	1.63321	0	0	3
32	8	0.0384	1.28	423.152262	423.151865	423.151462	423.152262	0.000800021309	0.000198212754	0	24.7	1.64583	0	0	3
33	9	0.0396	1.32	423.152332	423.151932	423.151531	423.152332	0.000800406442	0.000197719411	0	24.7	1.64278	0	0	3
34	9	0.0408	1.36	423.152399	423.151998	423.151597	423.152399	0.000802021688	0.000197234219	0	24.5	1.64782	0	0	3
35	9	0.042	1.4	423.152469	423.152065	423.151667	423.152469	0.000802492245	0.000196799903	0	24.5	1.62646	0	0	3
36	9	0.0432	1.44	423.152537	423.152132	423.151731	423.152537	0.000806143328	0.000196375509	0	24.3	1.64792	0	0	3
37	10	0.0444	1.48	423.152608	423.1522	423.151801	423.152608	0.000806650092	0.000196050406	0	24.3	1.64642	0	0	3
38	10	0.0456	1.52	423.152679	423.152267	423.151865	423.152679	0.000806817719	0.000195770599	0	24.2	1.64869	0	0	3
